Id,Brand,Product,Quantity,Price,MRP,rebate,stock,Category,image_small
66,18 Herbs,Organic Dia Health Tea - Herbal Infusion For Diabetes Support,18.75 g (15 Bags x 1.25 g each),100,100,0,100,beverages,https://www.bigbasket.com/media/uploads/p/l/40187672_2-18-herbs-organic-dia-health-tea-herbal-infusion-for-diabetes-support.jpg
67,Tropicana,"Fruit Juice - Delight, Mango",1 L Tetra ,95,100,0,100,beverages,https://www.bigbasket.com/media/uploads/p/l/229794_14-tropicana-fruit-juice-delight-mango.jpg
68,Maaza,Juice - Mango Refresh,150 ml Carton ,10,10,0,100,beverages,https://www.bigbasket.com/media/uploads/p/l/265725_12-maaza-juice-mango-refresh.jpg
69,Frooti,Drink - Fresh 'N' Juicy Mango,150 ml Tetra ,9.5,10,0,100,beverages,https://www.bigbasket.com/media/uploads/p/l/274035_6-frooti-drink-fresh-n-juicy-mango.jpg
70,Tata ,Gluco+ Lemon,200 ml Closed Cup,10,10,0,100,beverages,https://www.bigbasket.com/media/uploads/p/l/40172370_5-tata-gluco-lemon.jpg
71,Nescafe ,Sunrise Coffee,9 g Pouch ,10,10,0,100,beverages,https://www.bigbasket.com/media/uploads/p/l/40020215_4-nescafe-sunrise-coffee.jpg
72,Fresho,"Crab - Dotted, Cleaned & Whole Cut",500 g (Gross Weight 800,1059,1380,100,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/40065429_1-fresho-crab-dotted-cleaned-whole-cut.jpg
73,Fresho,Squid,1 kg ,1299,1690,100,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/40109897_1-fresho-squid.jpg
74,Fresho,"White Pomfret Small - Whole Cleaned, Preservative Free",500 g (Gross Fish Weight 600,799,1038.7,100,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/40048852_2-fresho-white-pomfret-small-whole-cleaned-preservative-free.jpg
75,Fresho,"Mutton Goatkid - Shoulder Pieces, Fresh & Tender",1 Kg ,1189,1545,100,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/40227671_1-fresho-mutton-goatkid-shoulder-pieces-fresh-tender.jpg
76,Fresho,"Mutton Goatkid - Curry Cut, From Whole Carcass, Tender & Juicy",1 Kg ,1059,1380,100,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/40227648_1-fresho-mutton-goatkid-curry-cut-from-whole-carcass-tender-juicy.jpg
77,Fresho,"Mutton Goatkid - Steak, Fresh & Tender",1 Kg ,1109,1441.7,100,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/40227674_1-fresho-mutton-goatkid-steak-fresh-tender.jpg
78,Fresho,Mutton - Biryani Pieces,1 Kg  ,899,1170,100,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/10001020_4-fresho-mutton-biryani-pieces.jpg
79,Danish,Premium Mutton Bhuna Samosa,200 g ,185,185,0,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/40114988_1-danish-premium-mutton-bhuna-samosa.jpg
80,Fresho Signature,"Chicken - Breakfast Ham, Sliced",200 g  ,106.8,118.67,0,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/40094893_1-fresho-signature-chicken-breakfast-ham-sliced.jpg
81,Fresho Signature,"Chicken - Salami with Chilli, Sliced",200 g  ,109.2,121.33,0,100,eggs meat fish,https://www.bigbasket.com/media/uploads/p/l/40094899_1-fresho-signature-chicken-salami-with-chilli-sliced.jpg
